ATOM,X,Y,Z,MAGNETIC_MOMENT
N1,12.0785,0.1145,8.99749,0
N2,4.43162,10.3644,8.16051,0
N3,2.71161,4.84791,9.66727,0
N4,0.89737,1.74958,9.337,0
N5,3.21332,3.26835,6.46286,0
N6,1.73971,1.45477,7.06626,0
N7,1.68645,3.53049,8.08588,0
N8,1.86205,3.72547,11.57564,0
N9,6.74277,9.97021,8.46125,0
N10,4.79709,7.01151,7.5521,0
N11,8.73145,6.96013,8.72111,0
N12,6.78519,5.59832,7.981,0
N13,6.90937,7.87364,7.85006,0
N14,4.84155,4.71697,7.10663,0
N15,9.86264,8.98163,9.29357,0
N16,14.59659,5.31774,7.65629,0
N17,16.23804,8.46643,8.65095,0
N18,12.29409,7.63432,9.09327,0
N19,14.06821,9.28544,9.43351,0
N20,14.27793,7.421,8.11416,0
N21,10.29486,0.58961,7.57651,0
N22,10.21859,4.95169,6.44208,0
N23,11.56957,2.35769,8.5919,0
N24,8.33204,1.09213,6.44769,0
N25,10.04814,2.7472,6.7422,0
N26,11.29436,5.61799,8.45614,0
N27,6.5473,2.75153,5.98332,0
C1,1.99077,3.91819,10.25188,0
C2,1.05635,1.04693,8.15118,0
C3,3.56776,4.34792,7.19203,0
C4,2.43268,4.78825,8.22343,0
C5,1.35708,2.98068,9.26042,0
C6,2.16992,2.70534,7.09924,0
C7,5.51106,9.49747,8.10172,0
C8,5.49539,5.86209,7.58227,0
C9,8.81472,8.33736,8.79837,0
C10,7.58927,8.94123,8.30124,0
C11,5.56597,8.09493,7.77436,0
C12,7.51613,6.685,8.17975,0
C13,15.81955,5.89217,7.91543,0
C14,15.36872,9.43557,9.03644,0
C15,12.33791,6.43646,8.42076,0
C16,13.66095,6.25308,7.83227,0
C17,15.63874,7.30168,8.26416,0
C18,13.50537,8.21189,8.93829,0
C19,11.28495,1.08248,8.35893,0
C20,10.97196,4.59124,7.53893,0
C21,7.42256,1.97635,6.20555,0
C22,9.54646,1.44683,6.89921,0
C23,10.94341,3.21789,7.74943,0
C24,9.67395,3.8579,5.9745,0
H1,12.83786,0.4698,9.57144,0
H2,2.4027,4.28503,12.22346,0
H3,10.77978,8.486,9.40926,0
H4,10.43269,6.0393,8.86291,0
H5,3.57395,10.02371,8.59798,0
H6,1.38633,2.89925,11.91556,0
H7,5.47141,3.99493,6.63122,0
H8,9.88181,9.99206,9.20833,0
H9,8.05828,3.5158,4.98186,0
O1,8.99915,3.77892,4.81442,0
