ATOM,X,Y,Z,MAGNETIC_MOMENT
N1,14.10922,0.64701,8.13895,0
N2,3.07983,12.31541,8.15488,0
N3,1.01877,5.04764,8.09715,0
N4,1.66509,0.9911,8.12054,0
N5,4.82759,3.60271,8.1786,0
N6,4.04181,1.4082,8.16755,0
N7,0.16505,2.77072,8.09321,0
N8,3.28461,5.45047,8.13983,0
N9,2.49767,3.20631,8.13054,0
N10,15.81958,4.61092,8.07337,0
N11,5.39896,11.99649,8.19236,0
N12,4.64093,7.95397,8.18613,0
N13,8.51791,9.31627,8.22557,0
N14,7.01788,7.53696,8.2165,0
N15,3.85482,10.1484,8.17198,0
N16,7.66536,11.59392,8.21945,0
N17,6.18546,9.75254,8.20386,0
N18,5.60342,5.76997,8.19418,0
N19,9.90928,11.15535,8.22614,0
N20,16.18096,7.91826,8.11223,0
N21,15.52763,11.97375,8.13255,0
N22,12.36912,9.35875,8.16408,0
N23,13.15148,11.55297,8.1571,0
N24,17.03093,10.19696,8.12043,0
N25,13.91451,7.51237,8.13158,0
N26,14.69901,9.7571,8.13684,0
N27,1.37966,8.3592,8.10814,0
N28,11.78933,0.96906,8.16378,0
N29,12.5526,5.01004,8.13977,0
N30,8.67434,3.65328,8.18672,0
N31,10.1759,5.43029,8.1699,0
N32,13.33654,2.81435,8.13377,0
N33,9.52406,1.375,8.18587,0
N34,11.00624,3.21414,8.16265,0
N35,11.59386,7.19425,8.16015,0
N36,7.28058,1.81614,8.20346,0
C1,0.01072,4.12703,8.08791,0
C2,2.95554,0.61518,8.14728,0
C3,4.50494,4.92695,8.16906,0
C4,2.25276,4.59275,8.12191,0
C5,1.4051,2.30326,8.11329,0
C6,3.81279,2.72705,8.15849,0
C7,4.17866,11.47239,8.17423,0
C8,5.72739,7.16142,8.19919,0
C9,8.67294,10.67283,8.22402,0
C10,6.43156,11.13957,8.20555,0
C11,4.87014,9.27288,8.1884,0
C12,7.27765,8.84889,8.21656,0
C13,0.14262,8.84072,8.11341,0
C14,14.23634,12.347,8.14364,0
C15,12.69361,8.03519,8.15155,0
C16,14.94596,8.37067,8.12705,0
C17,15.78969,10.66224,8.12985,0
C18,13.38318,10.23456,8.15308,0
C19,13.01064,1.49058,8.14608,0
C20,11.46648,5.8036,8.1553,0
C21,8.51744,2.29664,8.19212,0
C22,10.75818,1.82841,8.17026,0
C23,12.32257,3.69111,8.14465,0
C24,9.91531,4.11867,8.17341,0
H1,15.01697,1.12354,8.12643,0
H2,15.68383,5.62387,8.07993,0
H3,10.71838,10.52316,8.21529,0
H4,10.68674,7.67263,8.17577,0
H5,2.1891,8.99107,8.12147,0
H6,6.47228,2.4501,8.20257,0
H7,2.1711,11.84056,8.14045,0
H8,1.51656,7.34646,8.10775,0
H9,15.00939,3.98066,8.08172,0
H10,6.51261,5.29544,8.20627,0
H11,7.14124,0.80395,8.20555,0
H12,10.04665,12.16786,8.21573,0
