ATOM,X,Y,Z,MAGNETIC_MOMENT
N1,14.45778,1.45216,7.93205,-8
N2,1.71544,9.04602,8.36585,-8
N3,1.3387,4.05143,7.90458,-4
N4,-0.2392,10.34118,8.23294,0
N5,4.22024,1.86419,8.23987,3
N6,1.97895,1.7655,8.15918,1
N7,16.46875,3.49435,7.79864,-3
N8,4.04754,9.66323,8.63644,48
N9,3.27119,6.13479,8.22054,6
N10,6.8203,6.07974,8.6326,-1
N11,4.9595,7.65951,8.51526,39
N12,4.63073,4.15297,8.15849,-6
N13,8.91617,7.36192,8.94547,2
N14,14.83876,6.44918,8.40169,-4
N15,16.41243,0.15854,8.06114,0
N16,11.95433,8.6338,8.07263,3
N17,14.19638,8.73362,8.13978,1
N18,-0.29174,7.00951,8.49274,-2
N19,12.12223,0.83602,7.68583,47
N20,12.90566,4.3651,8.08528,6
N21,9.35093,4.41991,7.72712,-1
N22,11.21348,2.84035,7.81275,39
N23,11.54521,6.34543,8.16963,-6
N24,7.25507,3.13569,7.42453,2
C1,0.07364,3.71079,7.85293,1
C2,1.15466,10.27439,8.29369,2
C3,3.7257,3.11678,8.14786,-4
C4,2.24853,3.12332,8.06487,-1
C5,0.89923,0.93473,8.15161,1
C6,3.16686,1.03393,8.24529,-6
C7,3.03148,8.72805,8.44433,29
C8,4.43786,5.49125,8.25639,4
C9,7.86382,6.84942,8.80946,0
C10,5.18699,9.04402,8.76506,239
C11,3.58904,7.43794,8.36584,10
C12,5.58404,6.42996,8.48289,-1
C13,16.10325,6.79207,8.44478,1
C14,15.01858,0.22393,8.0041,2
C15,12.45016,7.3821,8.168,-4
C16,13.9274,7.37621,8.2419,-1
C17,15.27551,9.56583,8.14472,0
C18,13.00733,9.46419,8.05681,-5
C19,13.14147,1.77112,7.86242,29
C20,11.73808,5.00753,8.06822,4
C21,8.30688,3.65017,7.55661,0
C22,10.98137,1.45509,7.57144,238
C23,12.58605,3.06158,7.94384,10
C24,10.5895,4.06926,7.85746,-1
H1,15.1529,2.24914,7.91388,1
H2,10.55898,6.68179,8.28046,0
H3,1.0199,8.24845,8.38132,1
H4,5.61877,3.81501,8.05725,0
