ATOM,X,Y,Z,MAGNETIC_MOMENT
N1,13.72318,0.70757,9.20492,4
N2,3.25006,10.64936,7.25966,2
N3,1.13188,4.63469,9.72387,87
N4,1.42464,0.78765,8.22762,61
N5,3.66722,1.42572,7.47611,66
N6,16.48355,2.43739,9.29351,18
N7,3.38906,4.80186,8.81621,27
N8,2.2545,2.88946,8.64852,2
N9,15.37656,4.15983,10.33799,17
N10,5.57007,10.34994,7.46238,4
N11,4.77457,6.36294,7.02448,7
N12,8.62751,7.61108,7.45611,2
N13,7.05288,5.86654,7.6117,7
N14,4.06258,8.55844,6.91032,2
N15,7.84089,9.90665,7.59004,1
N16,6.33064,8.10376,7.35683,8
N17,5.38634,4.2187,7.63914,20
N18,10.06504,9.42202,7.47479,1
N19,15.94922,6.61695,7.05104,96
N20,15.56557,10.57014,8.23593,60
N21,13.35872,9.92589,9.08974,78
N22,0.5305,8.88068,7.25266,18
N23,13.73989,6.4555,8.067,41
N24,14.80631,8.41343,8.01219,1
N25,1.64972,7.11491,6.29332,21
N26,11.4626,1.08667,8.64998,5
N27,12.23682,4.91279,9.76476,10
N28,10.01483,5.59698,9.29091,4
N29,12.85039,2.73192,9.68907,4
N30,9.39964,1.50634,7.83727,1
N31,10.61934,3.30709,9.01442,5
N32,11.75857,7.11724,9.25287,17
N33,7.30437,2.34369,6.835,1
C1,16.50529,3.73148,9.76558,2
C2,2.6412,0.56571,7.67869,16
C3,4.13268,3.9051,8.11841,89
C4,2.22482,4.19113,9.1171,40
C5,1.20693,2.01147,8.72512,-8
C6,3.4435,2.63104,8.0,83
C7,4.36141,9.85236,7.19942,3
C8,5.7438,5.5296,7.41399,20
C9,8.79768,8.96375,7.49462,1
C10,6.58954,9.49265,7.47067,0
C11,5.02875,7.66502,7.0861,4
C12,7.37983,7.17728,7.46454,3
C13,0.53584,7.54957,6.88533,1
C14,14.36087,10.79562,8.80862,9
C15,12.9947,7.39953,8.69533,91
C16,14.86937,7.07632,7.66518,35
C17,15.81612,9.31821,7.82624,-8
C18,13.62842,8.68844,8.66852,74
C19,12.59954,1.49964,9.20322,1
C20,11.33094,5.82828,9.44876,14
C21,8.31641,2.0306,7.35633,0
C22,10.44164,1.95177,8.49367,0
C23,11.90921,3.64677,9.51948,2
C24,9.66101,4.35208,9.06496,5
H1,14.61576,1.22798,9.26655,0
H2,15.31816,5.14171,10.57627,0
H3,10.81457,8.79806,7.2061,0
H4,11.04212,7.84192,9.24204,2
H5,2.51216,7.67755,6.38268,0
H6,2.35053,10.13843,7.2559,0
H7,1.73231,6.11729,6.13985,0
H8,14.50353,3.62692,10.21617,0
H9,6.073,3.4527,7.38485,1
H10,10.22592,10.43015,7.50248,0
H11,7.88767,4.88621,8.36774,0
O1,8.42179,4.04926,8.85124,3
