ATOM,X,Y,Z,MAGNETIC_MOMENT
N82,25.24915,6.54469,7.38995,1.0
N83,22.10627,8.08963,8.36284,3.0
N84,25.37527,10.58301,7.90813,1.0
N85,24.31964,8.52842,7.76463,0.0
N86,23.6288,5.01381,7.88174,1.0
N87,27.63266,10.58256,7.42444,1.0
N88,33.47497,7.075,9.05547,0.0
N89,33.47874,10.93997,7.7442,0.0
N90,30.07026,8.70507,7.50457,0.0
N91,31.1178,10.75528,7.30996,0.0
N92,34.70755,9.04384,8.33061,0.0
N93,31.22117,6.88516,8.57748,0.0
N94,32.35872,8.89282,8.06142,0.0
N95,19.64468,9.15813,5.3465,16.0
N96,29.68705,0.53728,7.8803,0.0
N97,30.0567,4.61266,7.63073,1.0
N98,26.34141,2.94762,8.02602,0.0
N99,27.69496,4.83531,8.02961,1.0
N100,31.03689,2.52747,7.69469,1.0
N101,27.37233,0.74034,7.92418,0.0
N102,28.69013,2.6954,7.86595,1.0
N103,29.02305,6.69276,7.81361,0.0
N104,25.09079,1.02236,7.98736,0.0
N105,32.2101,12.82059,7.55725,0.0
N106,20.22123,21.84875,8.1389,0.0
N107,18.06242,15.02852,8.87294,0.0
N108,18.86117,11.05281,9.20763,0.0
N109,21.70657,13.20616,8.30575,-3.0
N110,17.16781,12.80228,9.39319,-3.0
N111,20.33514,15.22924,8.34354,-2.0
N112,19.42847,13.16568,8.8535,0.0
N113,34.07116,15.89292,9.25989,0.0
N114,22.52618,21.49215,7.97953,0.0
N115,21.73476,17.48489,8.02156,0.0
N116,25.59432,18.80176,7.56647,0.0
N117,24.07951,17.02951,7.66289,0.0
N118,20.9634,19.67039,8.12526,0.0
N119,24.78178,21.07338,7.79915,0.0
N120,23.28571,19.25308,7.86285,0.0
N121,22.61497,15.29839,7.90889,0.0
N122,27.01013,20.63068,7.61436,0.0
N123,34.64661,18.70248,10.27272,105.0
N124,33.46488,22.13932,8.31165,55.0
N125,31.18037,21.50395,8.93399,84.0
N126,0.13958,20.67715,8.91456,21.0
N127,32.26533,18.50352,10.67121,53.0
N128,33.08138,20.34156,9.69155,-3.0
N129,18.28805,18.00853,8.55465,1.0
N130,29.88218,13.11728,7.73035,0.0
N131,30.68462,16.85598,9.12881,2.0
N132,26.89258,15.33037,9.46533,3.0
N133,28.38913,17.07774,9.86547,6.0
N134,31.44645,14.85909,8.25157,0.0
N135,27.64742,13.37903,8.24453,1.0
N136,29.14774,15.11233,8.77555,3.0
N137,29.94036,18.76286,10.1789,11.0
C138,25.48932,13.55962,8.97402,1.0
C139,34.39935,3.55868,9.36163,0.0
C140,2.72421,0.71379,8.34801,10.0
C141,3.54286,3.78472,10.14598,109.0
C142,1.39203,3.90164,10.18178,48.0
C143,0.8551,1.95598,8.82115,-8.0
C144,3.0901,2.57402,9.51885,76.0
C145,3.61822,9.42415,7.77032,0.0
C146,5.1194,5.50245,9.51568,12.0
C147,8.09488,8.70243,8.21809,0.0
C148,5.86492,9.0795,7.84901,0.0
C149,4.29394,7.39469,8.57845,0.0
C150,6.69246,7.03401,8.90728,2.0
C151,34.622,7.78994,8.86423,0.0
C152,14.58655,11.62287,6.73091,12.0
C153,14.31495,7.94947,6.63966,95.0
C154,16.40663,8.19692,6.13155,45.0
C155,16.57312,10.62654,6.14193,-8.0
C156,14.54534,9.38157,6.63058,86.0
C157,13.89323,1.69036,7.67097,0.0
C158,12.735,6.06037,7.06572,11.0
C159,9.48472,2.87527,7.51064,0.0
C160,11.67696,2.21309,7.60996,-1.0
C161,13.38098,3.90919,7.36773,2.0
C162,11.02459,4.55548,7.28422,3.0
C163,0.11601,15.30445,8.94208,0.0
C164,2.54171,11.6554,7.71401,0.0
C165,4.63876,15.60208,8.50446,0.0
C166,2.39804,15.48295,8.87681,0.0
C167,1.22801,13.46583,8.14449,0.0
C168,3.66152,13.5825,8.08204,0.0
C169,4.02928,21.83114,7.90374,2.0
C170,5.90831,17.70943,8.2534,0.0
C171,8.58644,21.40715,7.99388,0.0
C172,6.30566,21.72511,7.95637,0.0
C173,4.91104,19.72408,7.98385,1.0
C174,7.32185,19.49947,8.14812,0.0
C175,0.41909,19.49639,9.56162,0.0
C176,14.63941,22.43745,7.9418,1.0
C177,12.56086,18.40929,8.24035,9.0
C178,14.82949,18.42767,8.3961,1.0
C179,15.96154,20.59032,8.18573,-1.0
C180,13.52755,20.47081,8.10126,3.0
C181,12.77607,13.30926,7.35025,12.0
C182,10.95743,16.44649,8.17816,95.0
C183,8.25221,13.03205,7.87811,1.0
C184,10.54987,12.96336,7.65926,-7.0
C185,11.59145,15.16906,7.88258,91.0
C186,9.34038,15.00358,8.16987,43.0
C187,17.9278,3.9536,7.38266,0.0
C188,20.47754,0.21827,8.06626,0.0
C189,22.4429,4.32088,7.85855,0.0
C190,20.18405,4.23459,7.60698,0.0
C191,19.11544,2.03149,7.77987,0.0
C192,21.52815,2.22999,8.00189,0.0
C193,22.06385,9.45439,8.48714,0.0
C194,23.95925,6.34115,7.73094,4.0
C195,26.51412,9.88543,7.5553,0.0
C196,24.24852,9.88002,8.02255,0.0
C197,23.28518,7.61738,7.98818,4.0
C198,25.48229,7.86822,7.46161,2.0
C199,18.33852,9.25885,5.6636,5.0
C200,32.25151,11.43303,7.52007,0.0
C201,30.17217,7.437,7.96435,0.0
C202,32.35684,7.58874,8.58014,0.0
C203,33.55783,9.64047,8.02757,0.0
C204,31.16341,9.46027,7.60916,0.0
C205,30.84783,1.19556,7.83383,2.0
C206,28.9302,5.31281,7.83919,0.0
C207,26.29105,1.58501,7.97545,0.0
C208,28.57414,1.29175,7.88891,0.0
C209,29.94754,3.29461,7.71853,1.0
C210,27.53994,3.51048,7.97169,0.0
C211,17.0653,14.14552,9.20867,0.0
C212,20.19533,11.11642,8.87527,-4.0
C213,21.47965,14.55059,8.20153,0.0
C214,19.26504,14.50981,8.68758,0.0
C215,18.39176,12.30402,9.18479,-2.0
C216,20.61824,12.49256,8.63797,-4.0
C217,21.2978,20.98615,8.08218,0.0
C218,22.79278,16.67736,7.86282,0.0
C219,25.76474,20.14325,7.66127,0.0
C220,23.53769,20.63061,7.88164,0.0
C221,21.96889,18.79364,8.00546,0.0
C222,24.35586,18.33788,7.68808,0.0
C223,17.1184,18.62848,8.46457,0.0
C224,32.12577,22.32626,8.41259,10.0
C225,31.2419,19.257,10.20469,110.0
C226,33.39525,19.1363,10.28726,45.0
C227,33.97535,21.08385,8.95444,-8.0
C228,31.71247,20.46215,9.57189,75.0
C229,31.11527,13.61539,7.841,0.0
C230,29.65606,17.50155,9.7074,11.0
C231,26.71,14.11724,8.89659,0.0
C232,28.88564,13.85105,8.22955,0.0
C233,30.44962,15.62674,8.70773,0.0
H234,28.10537,15.86468,9.37864,2.0
H235,15.8754,1.21268,7.74785,0.0
H236,16.62577,5.48783,6.93496,0.0
H237,10.08029,8.66341,8.58275,0.0
H238,12.28404,8.02463,6.85797,0.0
H239,1.5615,7.59468,9.01392,0.0
H240,7.48231,3.20238,7.46213,0.0
H241,1.60188,9.85851,7.77858,0.0
H242,0.56155,6.26325,9.66559,0.0
H243,15.90707,3.90251,7.19959,0.0
H244,5.63368,3.65615,10.21575,2.0
H245,7.95775,1.50741,7.68182,0.0
H246,9.48219,10.17529,7.85963,0.0
H247,14.72348,13.61262,6.94075,0.0
H248,15.74791,15.71261,9.13595,0.0
H249,10.62161,21.34445,7.98414,0.0
H250,10.54911,18.39908,8.20261,0.0
H251,2.33464,19.50939,8.8437,0.0
H252,6.23205,12.9321,7.87664,0.0
H253,2.01078,21.88063,7.76091,0.0
H254,1.82442,18.05679,9.71093,0.0
H255,15.05745,14.14332,9.58312,0.0
H256,6.66755,15.77833,8.29289,0.0
H257,7.08298,11.37634,7.5852,0.0
H258,9.91402,22.9698,7.8502,0.0
H259,32.87544,1.13779,7.77292,0.0
H260,33.01247,5.02329,9.44049,0.0
H261,28.50617,10.07341,7.25096,0.0
H262,28.16165,7.2337,7.61099,0.0
H263,20.19847,9.99804,5.24797,0.0
H264,24.25391,1.61297,8.04057,0.0
H265,20.13667,9.12505,8.90712,0.0
H266,20.06808,8.23968,5.30241,0.0
H267,32.51272,3.56448,8.56691,0.0
H268,24.466,4.41022,7.90504,0.0
H269,24.72478,23.01996,7.93942,0.0
H270,27.64065,11.59395,7.63661,0.0
H271,33.13321,13.24675,7.73859,0.0
H272,34.13138,16.80344,9.72306,0.0
H273,27.78871,19.99453,7.50337,0.0
H274,29.14845,19.35104,10.42125,3.0
H275,19.1598,18.53512,8.44249,0.0
H276,24.80143,13.99939,9.57248,0.0
H277,19.29456,21.40692,8.14667,0.0
H278,18.29387,16.9829,8.65261,0.0
H279,33.16724,15.50243,8.96336,0.0
H280,23.47235,14.76486,7.76889,0.0
H281,25.34675,12.59738,8.63468,0.0
H282,27.16156,21.64435,7.70306,0.0
