ATOM,X,Y,Z,MAGNETIC_MOMENT
N1,14.93537,0.7958,7.78907,1.0
N2,2.53607,10.27252,7.62007,0.0
N3,0.14633,4.3458,10.11004,103.0
N4,1.39108,0.90654,8.18791,54.0
N5,3.64915,1.53828,8.89748,84.0
N6,34.69578,2.37308,8.72951,21.0
N7,2.51116,4.53794,10.59162,51.0
N8,1.71843,2.68738,9.60664,-3.0
N9,16.7442,4.49645,7.14005,0.0
N10,4.84488,9.85184,7.4652,0.0
N11,4.05681,6.19152,9.06795,2.0
N12,7.93228,7.48931,8.7953,3.0
N13,6.41858,5.84582,9.45982,6.0
N14,3.28379,8.20544,8.24515,0.0
N15,7.11518,9.49101,7.69857,1.0
N16,5.61544,7.8409,8.45388,3.0
N17,4.84199,4.27981,10.08596,13.0
N18,9.3371,9.19971,8.15322,1.0
N19,17.6846,8.06824,5.80144,82.0
N20,15.89055,11.75884,6.35532,66.0
N21,13.84538,10.49426,6.86785,85.0
N22,17.85658,10.53019,5.80095,20.0
N23,15.45153,7.26483,6.34728,28.0
N24,15.87413,9.45792,6.29901,0.0
N25,0.64348,7.19773,9.25133,0.0
N26,12.62561,1.28141,7.74312,2.0
N27,13.73425,5.1788,7.19502,9.0
N28,9.74936,4.19194,7.32384,3.0
N29,11.40638,5.82821,7.11023,12.0
N30,14.313,2.96437,7.48701,2.0
N31,10.39708,1.87566,7.65684,2.0
N32,12.02813,3.55962,7.42018,8.0
N33,13.07749,7.38647,6.87546,26.0
N34,8.20106,2.49636,7.55777,1.0
N35,14.03828,12.86116,7.00778,12.0
N36,2.82027,22.49923,7.88398,6.0
N37,1.24637,16.0074,9.24176,0.0
N38,1.31076,12.18736,7.7745,0.0
N39,4.77684,14.31051,8.12694,0.0
N40,3.71769,12.28928,7.78634,0.0
N41,0.0639,14.07141,8.35905,0.0
N42,3.53694,16.17831,8.98461,0.0
N43,2.43029,14.18245,8.35129,0.0
N44,15.85756,14.71544,9.3495,-1.0
N45,5.19464,22.48431,7.90421,0.0
N46,4.78003,18.40723,8.05064,1.0
N47,8.52593,20.05246,8.11693,0.0
N48,7.16017,18.18253,8.29018,1.0
N49,3.82825,20.49479,7.89421,1.0
N50,7.51579,22.2657,7.93012,0.0
N51,6.17618,20.32244,8.03951,1.0
N52,5.80165,16.33851,8.39289,0.0
N53,9.79952,21.94882,7.93773,0.0
N54,16.00146,17.83906,8.55086,1.0
N55,15.87316,21.91772,8.04149,3.0
N56,12.41027,19.75231,8.11713,8.0
N57,13.46789,21.79495,7.96476,3.0
N58,17.13331,19.98193,8.29343,0.0
N59,13.69033,17.71558,8.40217,9.0
N60,14.76946,19.82774,8.21818,7.0
N61,1.6645,19.03579,9.4618,21.0
N62,11.75647,12.43284,7.38731,54.0
N63,8.17339,14.37618,8.15761,87.0
N64,9.62068,16.29599,8.35682,28.0
N65,12.78872,14.66016,7.58763,82.0
N66,9.40475,12.29075,7.67772,12.0
N67,10.50444,14.30882,7.9119,0.0
N68,11.35695,17.76253,8.19883,26.0
N69,7.099,12.39019,7.77692,22.0
N70,32.05434,0.53338,7.90664,6.0
N71,20.79976,9.89057,8.77301,-1.0
N72,19.0084,4.78181,7.38828,0.0
N73,19.23622,0.70404,7.92237,0.0
N74,22.62467,2.98734,8.03954,0.0
N75,21.62274,0.90824,8.14657,0.0
N76,17.93508,2.60108,7.60022,0.0
N77,21.30546,4.97759,7.64315,0.0
N78,20.28204,2.83226,7.79756,0.0
N79,33.16796,4.03897,9.20113,21.0
N80,23.05584,10.37082,8.37807,2.0
N81,26.62318,8.52837,7.33666,4.0
