ATOM,X,Y,Z,MAGNETIC_MOMENT
H248,6.18727,4.40469,7.92869,1.0
H249,7.34984,0.55604,9.34522,0.0
H250,9.6135,11.48591,8.36575,0.0
H251,14.81485,13.80728,8.16545,0.0
H252,15.27579,18.023,7.412,0.0
H253,10.42876,22.62086,9.26935,0.0
H254,10.06803,20.01859,8.61381,0.0
H255,2.05217,21.03286,7.55692,0.0
H256,6.19278,14.41376,8.63552,0.0
H257,2.01195,23.78174,8.00238,0.0
H258,1.45941,19.39885,7.22498,0.0
H259,14.52636,16.44473,7.80949,0.0
H260,6.36285,17.30439,8.43252,0.0
H261,6.98773,12.80986,8.67539,0.0
H262,9.66416,24.21984,9.50388,0.0
H263,31.36526,0.96594,8.00443,0.0
H264,31.92114,5.34809,7.21839,0.0
H265,27.1868,10.3324,8.57626,0.0
H266,27.01284,7.4427,8.38772,0.0
H267,18.85062,8.31371,7.78252,0.0
H268,22.94609,2.13401,9.24565,0.0
H269,18.56338,10.95236,8.13533,0.0
H270,18.09619,6.73652,7.3894,0.0
H271,31.32909,3.7121,7.54137,0.0
H272,23.30416,4.73541,8.57624,0.0
H273,23.70584,0.53479,9.48713,0.0
H274,26.39601,11.93903,8.60086,0.0
H275,31.54932,13.83875,8.56445,0.0
H276,32.22114,17.86362,7.43445,0.0
H277,26.95027,22.80446,8.79046,0.0
H278,27.19235,20.34164,7.88511,1.0
H279,18.61122,20.80781,7.55819,0.0
H280,22.96995,14.81529,7.88909,0.0
H281,18.33215,23.3141,8.36616,0.0
H282,17.78016,19.25886,7.20833,0.0
H283,31.39627,16.36147,7.94637,0.0
H284,23.1128,17.26166,7.31476,0.0
H285,23.75857,13.26342,8.26865,0.0
H286,26.02284,24.18852,9.33597,0.0
