ATOM,X,Y,Z,MAGNETIC_MOMENT
N1,14.16867,0.9346,8.62461,0.0
N2,2.73898,11.37826,8.63753,0.0
N3,0.72173,4.87283,7.02733,98.0
N4,1.67909,0.97171,7.95096,63.0
N5,4.01215,1.73449,8.11972,70.0
N6,-0.01717,2.58664,7.55422,16.0
N7,3.10147,5.17339,7.20862,33.0
N8,2.23243,3.16114,7.5568,2.0
N9,15.62154,4.48632,7.39237,0.0
N10,5.06227,11.10503,8.66384,1.0
N11,4.42887,7.0695,8.44868,6.0
N12,8.23812,8.56133,8.08835,4.0
N13,6.77701,6.72973,8.01575,10.0
N14,3.57117,9.2282,8.59805,1.0
N15,7.32706,10.77828,8.49931,1.0
N16,5.90762,8.90321,8.37881,5.0
N17,5.31416,4.94147,7.95539,26.0
N18,9.55958,10.46936,8.22866,1.0
N19,15.77828,7.48786,7.18102,0.0
N20,15.32218,11.48338,7.98758,0.0
N21,12.04342,9.10496,7.41918,0.0
N22,12.94202,11.2115,7.71153,0.0
N23,16.73692,9.65611,7.72339,0.0
N24,13.48625,7.22825,7.03638,0.0
N25,14.3933,9.36368,7.50901,0.0
N26,1.12849,7.8698,7.70712,0.0
N27,11.86566,1.16386,9.06532,0.0
N28,12.21527,4.9605,7.63683,0.0
N29,8.48417,3.4039,8.3474,0.0
N30,9.81611,5.20356,7.68875,0.0
N31,13.19206,2.9391,8.14924,0.0
N32,9.57106,1.39544,9.18923,0.0
N33,10.84612,3.17847,8.34174,0.0
N34,11.15508,7.0063,7.27477,0.0
N35,7.30759,1.56188,9.12226,0.0
N36,13.93025,13.27682,8.18566,0.0
N37,2.89045,24.28646,8.16187,3.0
N38,0.92057,17.18112,7.65759,0.0
N39,1.36971,13.18488,8.47191,0.0
N40,4.62548,15.66481,8.39061,0.0
N41,3.7556,13.51928,8.55391,0.0
N42,-0.05292,15.00625,8.15649,0.0
N43,3.18894,17.51537,7.84909,0.0
N44,2.29441,15.34039,8.18083,0.0
N45,15.34411,17.00098,7.52132,0.0
N46,5.13611,23.98388,8.73377,0.0
N47,4.49882,19.96131,8.16105,1.0
N48,8.28768,21.35212,8.93769,0.0
N49,6.84855,19.56944,8.54708,0.0
N50,3.68562,22.14454,8.16403,1.0
N51,7.34694,23.56884,9.20882,0.0
N52,5.96944,21.75899,8.61732,1.0
N53,5.47361,17.79539,8.26649,0.0
N54,9.58959,23.20035,9.42192,0.0
N55,15.47851,20.00955,7.50904,0.0
N56,15.17845,23.9952,8.40793,0.0
N57,11.89628,21.58093,8.64215,0.0
N58,12.81428,23.69115,8.74963,0.0
N59,16.53511,22.15442,7.95887,0.0
N60,13.20358,19.74717,7.81542,0.0
N61,14.19604,21.86248,8.18625,0.0
N62,1.28983,20.40515,7.28016,21.0
N63,11.61341,13.38277,8.53886,0.0
N64,12.01394,17.43797,8.46795,0.0
N65,8.27151,15.77754,8.58648,0.0
N66,9.6137,17.67004,8.46958,0.0
N67,12.98177,15.3473,8.34892,0.0
N68,9.31485,13.57825,8.64121,0.0
N69,10.62653,15.5326,8.50247,0.0
N70,10.95197,19.51572,8.43567,0.0
N71,7.03983,13.83534,8.67646,0.0
N72,30.48657,0.46009,8.1593,3.0
N73,19.44927,11.4814,8.14517,0.0
N74,17.89166,4.74471,7.48308,0.0
N75,18.19497,0.76008,8.38278,0.0
N76,21.47843,3.17309,8.60299,0.0
N77,20.56037,1.06312,8.71669,0.0
N78,16.83663,2.60083,7.93938,0.0
N79,20.16802,5.00666,7.77978,0.0
N80,19.17706,2.89182,8.15585,0.0
N81,32.0921,4.34177,7.27056,21.0
N82,21.76847,11.37341,8.47929,0.0
N83,21.3616,7.31795,8.42275,0.0
N84,25.10614,8.97393,8.52876,0.0
N85,23.76141,7.0828,8.42323,0.0
N86,20.39675,9.41004,8.30383,0.0
N87,24.06683,11.17495,8.57151,0.0
N88,22.75161,9.22169,8.45075,0.0
N89,22.42114,5.23844,8.39494,0.0
N90,26.34146,10.91382,8.60903,0.0
N91,32.4614,7.56195,7.66054,0.0
N92,32.00574,11.55911,8.46476,0.0
N93,28.75015,9.0807,8.35395,0.0
N94,29.61901,11.22569,8.52084,0.0
N95,33.43102,9.73653,8.16879,0.0
N96,30.19142,7.22858,7.83128,0.0
N97,31.08348,9.40339,8.16899,0.0
N98,18.02931,7.75828,7.50189,0.0
N99,28.23867,0.76379,8.72555,0.0
N100,28.87848,4.78459,8.1413,1.0
N101,25.0879,3.39821,8.9159,0.0
N102,26.52783,5.17833,8.52089,0.0
N103,29.69111,2.60129,8.15391,1.0
N104,26.02653,1.18139,9.1947,0.0
N105,27.40667,2.98898,8.60237,1.0
N106,27.90301,6.95044,8.2307,0.0
N107,23.7833,1.55378,9.40372,0.0
N108,30.63403,13.36595,8.60381,0.0
N109,19.20369,23.82039,8.60264,0.0
N110,17.59121,17.27271,7.176,0.0
N111,18.05693,13.27582,7.96663,0.0
N112,21.32864,15.65588,7.36715,0.0
N113,20.43395,13.54789,7.66475,0.0
N114,16.63905,15.10314,7.72341,0.0
N115,19.88112,17.53306,7.00519,0.0
N116,18.98035,15.3967,7.48468,0.0
N117,32.25297,16.87207,7.68396,0.0
N118,21.50652,23.58857,9.0434,0.0
N119,21.15559,19.79882,7.59657,0.0
N120,24.88651,21.34889,8.31969,0.0
N121,23.5544,19.5546,7.64711,0.0
N122,20.17908,21.81658,8.12282,0.0
N123,23.80043,23.35334,9.17217,0.0
N124,22.52495,21.57635,8.31203,0.0
N125,22.21467,17.75556,7.21849,0.0
N126,26.06348,23.18365,9.10997,0.0
N127,32.66225,19.87853,7.01446,98.0
N128,31.70027,23.77566,7.95266,63.0
N129,29.36606,23.0124,8.10373,70.0
N130,-0.18816,22.16133,7.55964,16.0
N131,30.28164,19.57816,7.17836,33.0
N132,31.14901,21.58819,7.54377,2.0
N133,17.74713,20.27035,7.40074,0.0
N134,28.31052,13.63793,8.5914,1.0
N135,28.94735,17.6742,8.40016,6.0
N136,25.13972,16.1864,8.00744,4.0
N137,26.60206,18.01706,7.95445,10.0
N138,29.80236,15.51508,8.55211,1.0
N139,26.04768,13.9663,8.40725,1.0
N140,27.46844,15.84133,8.30973,5.0
N141,28.06527,19.80517,7.91397,26.0
N142,23.81615,14.27931,8.12968,1.0
C143,33.35383,3.91793,7.28189,1.0
C144,3.01861,0.79674,8.08744,15.0
C145,4.08399,4.36384,7.66196,86.0
C146,1.96547,4.46383,7.21299,41.0
C147,1.25017,2.21027,7.68818,-8.0
C148,3.57403,2.98642,7.84715,105.0
C149,3.85333,10.55521,8.63624,0.0
C150,5.5039,6.31692,8.14671,8.0
C151,8.35581,9.91125,8.2731,0.0
C152,6.10809,10.2843,8.5212,0.0
C153,4.6112,8.38346,8.48767,1.0
C154,7.01352,8.03957,8.16405,2.0
C155,-0.07251,8.41036,7.85089,0.0
C156,14.0541,11.92067,7.95294,0.0
C157,12.29657,7.79157,7.23409,0.0
C158,14.56312,8.0004,7.22587,0.0
C159,15.52073,10.18826,7.73946,0.0
C160,13.1055,9.90986,7.53558,0.0
C161,13.0079,1.68736,8.62406,0.0
C162,11.07412,5.65084,7.53504,0.0
C163,8.47477,2.14918,8.87207,0.0
C164,10.75388,1.88906,8.88349,0.0
C165,12.10412,3.70439,8.03844,0.0
C166,9.67617,3.94824,8.11662,0.0
C167,-0.13372,16.33233,7.83805,0.0
C168,2.64438,12.76503,8.55125,0.0
C169,4.36239,16.97671,8.15881,0.0
C170,2.1228,16.7033,7.88303,0.0
C171,1.16566,14.4896,8.27578,0.0
C172,3.57993,14.82858,8.37753,0.0
C173,3.97058,23.46207,8.3618,2.0
C174,5.5817,19.17914,8.31725,0.0
C175,8.39067,22.68991,9.18482,0.0
C176,6.15817,23.12596,8.86117,0.0
C177,4.69161,21.27388,8.30843,1.0
C178,7.06992,20.87204,8.70382,0.0
C179,0.02861,20.83107,7.2824,1.0
C180,13.92419,24.42759,8.60876,0.0
C181,12.08342,20.28989,8.29042,0.0
C182,14.29988,20.51121,7.82437,0.0
C183,15.34144,22.69118,8.18912,0.0
C184,12.95055,22.39096,8.53212,0.0
C185,12.7729,14.01083,8.36226,0.0
C186,10.86958,18.13564,8.44878,0.0
C187,8.23066,14.41219,8.63514,0.0
C188,10.50779,14.13491,8.56814,0.0
C189,11.89485,16.11879,8.44683,0.0
C190,9.46709,16.34291,8.52466,0.0
C191,16.80261,3.9279,7.61188,0.0
C192,19.44936,0.32731,8.5817,0.0
C193,21.28944,4.46404,8.2517,0.0
C194,19.07177,4.2426,7.79334,0.0
C195,18.03133,2.06404,8.16422,0.0
C196,20.42383,2.36303,8.49794,0.0
C197,20.60715,10.74628,8.31262,0.0
C198,22.50511,6.61879,8.40486,0.0
C199,25.14958,10.33938,8.57002,0.0
C200,22.87299,10.6195,8.5075,0.0
C201,21.48247,8.63689,8.39985,0.0
C202,23.90986,8.41003,8.47285,0.0
C203,16.82865,8.31747,7.4669,0.0
C204,30.73041,11.9793,8.52705,0.0
C205,29.01534,7.76819,8.1287,0.0
C206,31.25737,8.04028,7.87426,0.0
C207,32.21138,10.2539,8.27446,0.0
C208,29.79615,9.9161,8.35015,0.0
C209,29.40524,1.28432,8.35477,2.0
C210,27.79499,5.56734,8.29127,0.0
C211,24.98377,2.06161,9.16726,0.0
C212,27.21664,1.6228,8.84888,0.0
C213,28.68517,3.47263,8.29364,1.0
C214,26.30631,3.8765,8.68284,0.0
C215,16.54442,16.44218,7.47121,0.0
C216,19.32431,12.83828,7.91709,0.0
C217,21.07292,16.96963,7.18835,0.0
C218,18.8068,16.76035,7.20621,0.0
C219,17.85544,14.57123,7.72415,0.0
C220,20.26833,14.85005,7.49433,0.0
C221,20.36403,23.06699,8.60086,0.0
C222,22.29633,19.10895,7.48985,0.0
C223,24.89601,22.5997,8.85321,0.0
C224,22.6179,22.86298,8.86059,0.0
C225,21.26696,21.05213,8.00652,0.0
C226,23.6944,20.80706,8.08344,0.0
C227,16.56769,20.82755,7.63051,0.0
C228,30.35987,23.95017,8.08155,15.0
C229,29.29682,20.38526,7.63132,86.0
C230,31.41768,20.28731,7.19387,41.0
C231,32.13073,22.53794,7.68697,-8.0
C232,29.80567,21.76175,7.82753,105.0
C233,29.5195,14.18823,8.58442,0.0
C234,27.8744,18.42856,8.09553,8.0
C235,25.02031,14.83533,8.18239,0.0
C236,27.26642,14.4597,8.44212,0.0
C237,28.76402,16.36025,8.43281,1.0
C238,26.36414,16.70644,8.09275,2.0
H239,15.03854,1.44051,8.38146,0.0
H240,15.58689,5.49866,7.20461,0.0
H241,10.40604,9.93831,7.97883,0.0
H242,10.25776,7.49978,7.38126,0.0
H243,1.98323,8.37924,7.97721,0.0
H244,6.42053,1.9404,8.80258,0.0
H245,1.82377,10.90576,8.58695,0.0
H246,1.1605,6.87851,7.45634,0.0
H247,14.7591,3.95006,7.56062,0.0
