ATOM,X,Y,Z,MAGNETIC_MOMENT
N1,14.36024,1.29992,7.83374,1.0
N2,4.09714,10.05343,9.21909,0.0
N3,34.15238,4.97371,7.01563,0.0
N4,1.14151,0.9799,7.40488,0.0
N5,3.35356,1.81145,8.04989,0.0
N6,33.50243,2.57919,6.91616,0.0
N7,2.40562,5.30639,7.7361,0.0
N8,1.6003,3.23643,7.39582,0.0
N9,16.54715,4.78881,7.12802,4.0
N10,6.46884,9.9338,9.70344,0.0
N11,4.6429,6.91133,8.87173,0.0
N12,8.69041,6.49726,9.72641,0.0
N13,6.62279,5.45848,9.1366,0.0
N14,8.67076,8.95118,10.02855,0.0
N15,6.7648,7.73749,9.43848,0.0
N16,4.61046,4.59626,8.51063,0.0
N17,10.57865,7.70673,10.22434,0.0
N18,16.78369,7.11134,5.21652,71.0
N19,16.23466,10.81226,7.00376,49.0
N20,13.84131,10.40782,6.72949,79.0
N21,17.73402,9.08295,6.32054,19.0
N22,14.3624,7.11543,5.26542,21.0
N23,15.47688,8.94778,5.87919,-3.0
N24,0.77471,6.06349,10.45491,0.0
N25,12.06269,1.68214,7.6997,0.0
N26,12.90478,5.59291,6.93948,5.0
N27,9.0534,4.23807,6.5915,4.0
N28,10.59051,5.97531,6.34746,8.0
N29,13.66085,3.45862,7.43941,1.0
N30,9.82431,2.0493,7.28979,2.0
N31,11.34588,3.83506,7.03894,3.0
N32,12.19322,7.62035,6.08773,26.0
N33,7.62314,2.44052,6.83195,1.0
N34,14.75369,12.51956,7.3109,10.0
N35,3.36258,22.43154,8.01677,0.0
N36,2.0713,15.81632,9.9741,0.0
N37,2.60256,11.8034,9.26255,0.0
N38,5.80938,14.3478,9.33665,0.0
N39,4.98705,12.19587,9.24441,0.0
N40,1.14195,13.62151,9.46325,0.0
N41,4.33958,16.18904,9.77377,0.0
N42,3.48015,13.99178,9.49765,0.0
N43,16.0746,15.8709,6.03842,13.0
N44,5.71741,22.4434,7.80553,0.0
N45,5.48739,18.50147,8.90381,0.0
N46,9.12245,20.12047,7.95177,0.0
N47,7.86812,18.28686,8.63066,0.0
N48,4.45162,20.51564,8.49921,0.0
N49,8.02681,22.27178,7.60254,0.0
N50,6.78936,20.36524,8.24273,0.0
N51,6.61924,16.4778,9.24708,0.0
N52,10.30267,21.99659,7.3834,0.0
N53,15.79483,18.10312,8.29295,12.0
N54,16.04976,22.24679,8.31966,1.0
N55,12.85674,20.00695,7.23836,2.0
N56,13.81545,22.22036,7.34257,5.0
N57,17.11085,20.16081,8.74301,4.0
N58,14.9646,20.24741,7.8911,-1.0
N59,2.30942,19.01699,9.85229,0.0
N60,12.67005,12.43609,8.30388,-2.0
N61,9.27247,14.67166,9.0788,-4.0
N62,10.71586,16.50285,8.4266,2.0
N63,13.71276,14.56186,7.64284,1.0
N64,10.43148,12.49224,9.05983,-1.0
N65,11.53791,14.44401,8.48407,1.0
N66,12.39333,17.80949,7.65754,1.0
N67,8.21651,12.71153,9.63145,0.0
N68,30.91514,0.34817,7.2702,0.0
N69,20.143,10.38662,6.78327,24.0
N70,18.81685,4.80537,7.61498,27.0
N71,18.3864,0.83744,8.73549,4.0
N72,21.76384,3.05652,8.90403,2.0
N73,20.74901,0.9036,9.31267,9.0
N74,17.34307,2.84846,8.02713,10.0
N75,19.60104,2.79866,8.51189,-2.0
N76,32.02176,4.27791,6.50464,0.0
N77,22.41953,10.51892,7.17916,8.0
N78,25.75069,8.26199,8.18194,-8.0
