ATOM,X,Y,Z,MAGNETIC_MOMENT
N1,13.67837,0.30339,8.15475,0
N2,3.13616,10.01611,7.24935,7
N3,2.47904,0.64755,6.87192,24
N4,5.22141,2.82707,9.08118,32
N5,4.59051,0.74518,8.14784,6
N6,1.20649,2.72938,6.98187,-5
N7,3.63958,4.68185,8.8434,51
N8,3.26532,2.60159,7.86766,-2
N9,0.63917,4.9203,7.66181,48
N10,4.39041,6.76896,10.32782,2
N11,7.42078,7.41701,8.47031,0
N12,3.33027,8.64926,9.19824,2
N13,6.37091,9.31361,7.38428,0
N14,5.54806,8.45267,9.39158,0
N15,5.77486,4.92713,9.80257,6
N16,8.6579,8.98429,7.24411,0
N17,16.38019,7.51674,8.56585,0
N18,12.26567,9.14248,8.05185,0
N19,15.79467,9.94287,8.45522,0
N20,14.34603,6.09143,8.35356,0
N21,14.29637,8.27617,7.9928,0
N22,0.5096,9.23248,8.80019,0
N23,11.4248,0.49207,7.61155,0
N24,9.98106,4.67359,8.54375,0
N25,12.78162,2.43281,8.09612,0
N26,9.23383,0.69678,6.98219,0
N27,10.37723,2.53837,8.05753,0
N28,11.89908,5.81927,8.29273,0
N29,7.16118,1.94189,6.40362,0
C1,1.50213,3.90156,7.59144,45
C2,3.62981,0.14409,7.4137,8
C3,4.83238,4.11481,9.22365,7
C4,2.85667,3.86852,8.16982,64
C5,2.27515,1.92239,7.16902,34
C6,4.40779,2.03977,8.37571,-3
C7,3.92133,9.31098,8.17389,0
C8,5.56962,6.29802,9.89846,0
C9,7.4832,8.59046,7.74366,0
C10,5.35015,9.15655,8.19723,0
C11,4.33075,8.0518,9.88598,0
C12,6.36474,7.33123,9.24661,0
C13,16.65467,8.87418,8.58833,0
C14,13.19854,10.14592,8.11767,0
C15,13.0465,6.53198,8.20706,0
C16,15.10658,7.2147,8.30611,0
C17,14.54696,9.5893,8.17312,0
C18,12.98449,7.98061,8.00088,0
C19,12.56732,1.10035,7.96337,0
C20,11.3393,4.54662,8.34592,0
C21,8.16296,1.37311,6.68,0
C22,10.31908,1.22315,7.54486,0
C23,11.67036,3.17441,8.12669,0
C24,9.42458,3.5048,8.38044,0
H1,14.53242,0.83523,8.3183,0
H2,0.79573,5.73816,8.24324,0
H3,9.51587,8.55723,7.57379,0
H4,11.09129,6.44602,8.32846,0
H5,0.68134,10.22725,8.87667,0
H6,2.32163,9.53581,6.87077,0
H7,1.25902,8.60271,9.08972,0
H8,17.11334,4.77479,7.33568,0
H9,6.72201,4.53999,9.79036,0
H10,8.71595,9.94717,6.88581,0
H11,7.65197,2.75127,8.00052,0
O1,8.1493,3.27899,8.69444,0
