ATOM,X,Y,Z,MAGNETIC_MOMENT
N1,14.23092,0.77206,8.05509,0.0
N2,2.74932,11.07666,8.17117,0.0
N3,1.01631,4.69571,9.8359,99.0
N4,1.7453,0.92061,8.3398,62.0
N5,4.08491,1.63463,8.09815,72.0
N6,0.15403,2.50337,9.12232,18.0
N7,3.38784,4.95535,9.47469,35.0
N8,2.41824,3.00849,9.0173,1.0
N9,15.62534,4.56817,7.84021,1.0
N10,5.05167,10.86534,8.52217,1.0
N11,4.57849,6.83419,8.06965,5.0
N12,8.35237,8.42294,8.34173,4.0
N13,6.95206,6.53702,8.36539,9.0
N14,3.65603,8.96371,8.09002,1.0
N15,7.33296,10.61042,8.62685,1.0
N16,5.99614,8.69729,8.33698,4.0
N17,5.51232,4.72683,8.47833,24.0
N18,9.58514,10.39363,8.45991,1.0
N19,15.85647,7.51976,8.29884,0.0
N20,15.41711,11.59483,8.42065,3.0
N21,12.16147,9.15677,7.87331,0.0
N22,13.07087,11.2915,7.94161,3.0
N23,16.83752,9.73417,8.44565,1.0
N24,13.58743,7.24491,8.09376,0.0
N25,14.49511,9.43279,8.18744,1.0
N26,1.30929,7.63112,9.1645,0.0
N27,11.92761,0.9346,8.45934,0.0
N28,12.29821,4.93229,7.71829,0.0
N29,8.57312,3.32026,8.33973,0.0
N30,9.9257,5.20231,8.05067,0.0
N31,13.25611,2.83255,7.83635,0.0
N32,9.64481,1.1637,8.672,0.0
N33,10.92863,3.06944,8.18291,0.0
N34,11.26683,7.03625,7.87645,0.0
N35,7.38773,1.35015,8.66894,0.0
N36,14.03558,13.41359,8.27329,5.0
N37,3.17582,23.77611,7.65662,3.0
N38,1.03041,16.83494,6.8132,0.0
N39,1.41441,12.91566,7.97683,0.0
N40,4.72971,15.20978,7.32711,0.0
N41,3.7997,13.12911,7.71464,0.0
N42,0.03174,14.74805,7.5719,0.0
N43,3.32073,17.08055,6.78055,0.0
N44,2.37913,14.98486,7.36934,0.0
N45,15.90954,16.46447,7.69892,0.0
N46,5.46053,23.40226,7.95022,1.0
N47,4.70621,19.46508,7.08591,1.0
N48,8.57602,20.73512,7.65732,0.0
N49,7.07406,19.01287,7.23896,0.0
N50,3.93529,21.64826,7.30982,1.0
N51,7.70085,22.93136,8.1751,0.0
N52,6.24517,21.19847,7.54816,1.0
N53,5.6368,17.28602,7.05405,0.0
N54,9.94671,22.50755,8.20524,0.0
N55,16.14875,19.31177,8.05464,1.0
N56,15.58191,23.36228,8.18759,3.0
N57,12.40531,20.84138,7.68652,8.0
N58,13.22524,22.99843,7.83036,3.0
N59,17.04765,21.55964,8.23367,0.0
N60,13.88416,18.93907,7.83783,8.0
N61,14.71867,21.16991,7.98419,6.0
N62,1.30889,20.02909,6.56354,21.0
N63,11.75892,13.44768,8.65456,61.0
N64,8.27239,15.50765,7.8285,98.0
