ATOM,X,Y,Z,MAGNETIC_MOMENT
N49,7.9154,22.24057,8.67232,0.0
N50,6.60248,20.28689,8.87412,0.0
N51,6.28525,16.29751,9.22686,0.0
N52,10.19515,21.99096,8.90602,0.0
N53,16.23428,17.86569,7.86116,1.0
N54,16.45663,21.89972,8.6127,2.0
N55,12.87992,19.94852,8.97002,5.0
N56,14.08491,21.91654,9.05082,1.0
N57,17.53685,19.90972,8.10063,0.0
N58,13.96605,17.87613,8.34123,7.0
N59,15.19935,19.89613,8.49942,5.0
N60,1.99638,18.83583,9.96048,-16.0
N61,12.39931,12.66857,9.10995,47.0
N62,8.7453,14.45058,8.29487,77.0
N63,10.0463,16.47909,8.4721,28.0
N64,13.25224,14.96909,9.32301,61.0
N65,10.1208,12.40602,8.50388,12.0
N66,11.05126,14.50771,8.70497,-1.0
N67,11.71377,18.00276,8.90911,17.0
N68,7.882,12.33796,8.02076,17.0
N69,31.76349,0.03156,6.86954,-3.0
N70,20.75243,9.73232,7.15735,0.0
N71,19.17663,4.88169,8.67858,0.0
N72,19.10598,0.77723,8.33325,0.0
N73,22.49819,2.8625,7.40382,0.0
N74,21.38763,0.84574,7.57458,0.0
N75,17.99926,2.75074,8.8432,0.0
N76,21.37318,4.9382,7.92943,0.0
N77,20.24978,2.84884,8.12312,0.0
N78,32.89266,3.67922,5.47156,-13.0
N79,23.05926,10.20919,7.06013,1.0
N80,26.74125,8.27945,7.02134,2.0
N81,25.34167,6.31271,7.12125,1.0
N82,22.10296,7.93604,7.21812,1.0
N83,25.44067,10.38052,6.96036,0.0
N84,24.40178,8.32482,7.15681,0.0
N85,23.60619,4.83317,7.24283,0.0
N86,27.75294,10.33114,6.90984,0.0
N87,33.52217,5.9855,8.81303,0.0
N88,33.89127,10.03026,8.17241,1.0
N89,30.31576,8.16287,7.47163,0.0
N90,31.54125,10.10202,7.64633,2.0
N91,34.87479,8.00605,8.74614,1.0
N92,31.32347,6.04984,8.05466,0.0
N93,32.59131,8.046,8.12788,1.0
N94,20.33158,9.47293,10.89698,-13.0
N95,29.3945,0.11112,6.97427,0.0
N96,29.92497,4.15244,6.57395,-1.0
N97,26.18132,2.68114,7.25706,0.0
N98,27.66212,4.47555,7.31591,0.0
N99,30.7666,2.00627,6.42306,-1.0
N100,27.09465,0.42401,7.13653,0.0
N101,28.49965,2.30515,6.97659,0.0
N102,29.12864,6.2338,7.25625,0.0
N103,24.83053,0.82672,7.22589,0.0
N104,32.83644,12.02951,7.82378,4.0
N105,20.6609,21.65762,7.89283,0.0
N106,18.1176,14.92701,7.06942,0.0
N107,18.75549,10.90111,7.00742,0.0
N108,21.74639,13.0041,7.31413,-1.0
N109,17.09403,12.69684,6.93007,-2.0
N110,20.45494,15.07755,7.21419,-1.0
N111,19.41556,13.01672,7.0916,0.0
N112,34.39505,15.33159,9.71936,0.0
N113,22.94689,21.21914,7.70307,0.0
N114,21.9941,17.2498,7.61862,0.0
N115,25.89223,18.42613,7.14842,0.0
N116,24.32656,16.72016,7.30164,0.0
N117,21.3052,19.45884,7.73725,0.0
N118,25.1765,20.72202,7.40633,0.0
N119,23.60943,18.96315,7.48294,0.0
N120,22.77602,15.04805,7.42082,0.0
N121,27.37174,20.20023,7.05437,0.0
N122,34.71593,18.456,10.35167,-72.0
N123,33.85637,21.64661,7.85494,-41.0
N124,31.52532,20.92042,8.02962,-53.0
N125,0.56788,20.35332,8.97681,-13.0
N126,32.3096,18.17354,10.27025,-33.0
N127,33.25742,19.95833,9.30228,1.0
N128,18.50564,17.89719,7.5479,1.0
N129,30.65074,12.53426,7.10713,22.0
N130,31.19226,16.29106,8.67847,47.0
N131,28.78618,16.63516,8.32398,63.0
N132,32.0992,14.15635,8.21122,11.0
N133,28.36552,13.3325,6.81129,-8.0
N134,29.87156,14.61241,7.83027,-4.0
N135,30.15363,18.28573,9.19662,-5.0
C136,26.49203,14.75537,6.87685,69.0
C137,34.11828,3.44942,5.94309,-2.0
C138,2.39908,0.76336,7.76115,-7.0
C139,3.22499,4.28657,7.21232,-49.0
C140,1.22019,4.27728,6.42898,-23.0
C141,0.63489,1.93027,6.84455,4.0
C142,2.77674,2.92297,7.35725,-51.0
C143,4.73901,9.53501,7.31215,48.0
C144,5.09761,5.87393,7.55534,3.0
C145,8.90941,8.3646,7.36252,2.0
C146,6.8778,9.3053,7.07121,27.0
C147,4.98924,8.10612,7.36382,58.0
C148,7.13118,6.92473,7.40982,-5.0
C149,34.66238,6.69359,8.99246,0.0
C150,15.18403,11.95648,9.93558,-5.0
C151,14.95484,8.29717,9.77257,-81.0
C152,17.07192,8.52337,10.18579,-38.0
C153,17.21299,10.95391,10.34822,7.0
C154,15.18247,9.71866,9.87044,-68.0
C155,13.97629,2.00599,9.15714,0.0
C156,13.24209,6.49469,9.41742,-11.0
C157,9.73167,3.6335,8.76367,0.0
C158,11.82197,2.72909,8.97831,1.0
C159,13.66759,4.26602,9.36502,-2.0
C160,11.41613,5.14325,9.08676,-2.0
C161,0.65319,14.83505,9.46091,0.0
C162,3.3879,11.49005,7.96829,4.0
C163,5.15509,15.49307,9.21326,0.0
C164,2.91286,15.19496,9.47621,0.0
C165,1.92754,13.11383,8.63017,1.0
C166,4.34343,13.44868,8.6044,1.0
C167,4.43738,21.73711,8.47188,-1.0
C168,6.35946,17.68006,9.20636,0.0
C169,8.98608,21.41876,8.88878,0.0
C170,6.71437,21.67934,8.65312,0.0
C171,5.34155,19.68028,8.90534,0.0
C172,7.75256,19.49167,9.0897,0.0
C173,0.74,19.23533,9.77134,-1.0
C174,15.28439,22.48796,8.89949,1.0
C175,12.9244,18.61549,8.73367,9.0
C176,15.13986,18.51182,8.22474,0.0
C177,16.43365,20.5796,8.40313,0.0
C178,14.03313,20.60196,8.84556,3.0
C179,13.32871,13.59861,9.38679,8.0
C180,11.34994,16.68616,8.75697,77.0
C181,8.9433,13.08678,8.27698,0.0
C182,11.18661,13.14407,8.76836,-6.0
C183,12.05828,15.42337,8.95008,75.0
C184,9.8543,15.14873,8.46664,34.0
C185,18.09399,4.1118,8.98114,0.0
C186,20.25655,0.22559,7.93283,0.0
C187,22.41582,4.21119,7.53982,0.0
C188,20.25311,4.26217,8.247,0.0
C189,19.08112,2.11534,8.43518,0.0
C190,21.39446,2.17286,7.691,0.0
C191,22.05409,9.30522,7.14684,0.0
C192,24.00822,6.14495,7.21758,2.0
C193,26.60666,9.65316,6.96889,0.0
C194,24.29993,9.69577,7.05647,0.0
C195,23.32568,7.44095,7.22051,2.0
C196,25.58528,7.63686,7.09471,1.0
C197,19.01024,9.57446,10.64379,-5.0
C198,32.74003,10.65125,7.86484,2.0
C199,30.32856,6.81974,7.59574,0.0
C200,32.48062,6.65599,8.33775,0.0
C201,33.8209,8.70929,8.34855,1.0
C202,31.46329,8.78368,7.74429,0.0
C203,30.56881,0.70737,6.75168,-1.0
C204,28.9037,4.88632,7.04896,0.0
C205,26.05786,1.32417,7.19937,0.0
C206,28.31881,0.91311,7.02281,0.0
C207,29.74842,2.83639,6.63656,-1.0
C208,27.40839,3.17572,7.17874,0.0
C209,17.05877,14.05386,6.98882,0.0
C210,20.12953,10.94975,7.10847,-2.0
C211,21.57456,14.35107,7.31641,0.0
C212,19.31923,14.37694,7.12417,0.0
C213,18.32312,12.16763,6.99744,-1.0
C214,20.60437,12.31552,7.17789,-2.0
C215,21.69454,20.76013,7.76499,0.0
C216,23.01591,16.405,7.45023,0.0
C217,26.11656,19.76325,7.20414,0.0
C218,23.91794,20.32835,7.53357,0.0
C219,22.27437,18.54942,7.61841,0.0
C220,24.64157,18.02072,7.30993,0.0
C221,17.40326,18.57659,7.84391,0.0
C222,32.52469,21.74013,7.62774,-8.0
C223,31.38866,18.83112,9.51941,-72.0
C224,33.4735,18.82212,10.0673,-31.0
C225,34.2582,20.68393,8.69945,6.0
C226,31.94484,19.99469,8.89072,-56.0
C227,31.79489,12.93028,7.69457,16.0
C228,30.03294,16.99831,8.72771,-2.0
C229,27.78044,14.52392,7.15479,53.0
C230,29.6488,13.40482,7.21412,40.0
C231,31.09544,15.03959,8.2508,-5.0
C232,28.73575,15.39852,7.81643,84.0
H233,15.9123,1.38704,9.06064,0.0
H234,16.94411,5.73213,9.56942,0.0
H235,10.75565,7.77122,7.99852,0.0
H236,12.96334,8.49726,9.46652,0.0
H237,1.67788,6.44384,9.46842,0.0
H238,7.82093,4.24095,8.33352,0.0
H239,2.68206,9.62025,7.56726,0.0
H240,0.67316,5.01224,9.61554,0.0
H241,16.17679,4.14753,9.59835,0.0
H242,5.11013,3.86795,7.7853,0.0
H243,8.09537,2.49006,8.37849,0.0
H244,10.55611,9.49479,7.65551,0.0
H245,15.22817,13.96636,9.95245,0.0
H246,15.80025,15.65922,7.15958,0.0
H247,11.02986,21.41727,9.04413,0.0
H248,10.90805,18.63677,9.01487,0.0
H249,2.75702,19.31955,9.46752,0.0
H250,6.96042,12.7635,7.92185,0.0
H251,2.42761,21.68373,8.24056,0.0
H252,2.15134,17.89715,10.32806,0.0
H253,15.02259,14.08534,6.95329,0.0
H254,7.15647,15.79529,9.00022,0.0
H255,8.02195,11.33752,7.8486,0.0
H256,9.85257,0.17046,8.78658,0.0
H257,32.59217,0.61246,6.67211,0.0
H258,32.63713,4.64386,5.29768,0.0
H259,28.63272,9.81274,6.9532,0.0
H260,28.31447,6.87111,7.21201,0.0
H261,20.87549,10.31138,11.04792,0.0
H262,24.02506,1.46204,7.27422,0.0
H263,20.08998,8.95438,7.18021,0.0
H264,20.76015,8.55697,10.90607,0.0
H265,32.14308,3.008,5.7071,0.0
H266,24.40326,4.18475,7.13497,0.0
H267,25.15836,22.63223,7.26299,0.0
H268,27.76992,11.35416,6.83005,0.0
H269,33.73555,12.41752,8.14437,0.0
H270,34.34314,16.27822,10.10004,0.0
H271,28.0973,19.53479,6.8193,0.0
H272,29.36386,18.90264,9.02402,-1.0
H273,19.41519,18.36417,7.57969,0.0
H274,25.97965,15.61952,7.09266,0.0
H275,19.72786,21.25366,8.04015,0.0
H276,18.43319,16.88671,7.36619,0.0
H277,33.56429,14.87619,9.32069,0.0
H278,23.59951,14.4517,7.41164,0.0
H279,26.00144,14.01979,6.37898,0.0
H280,27.55671,21.21646,7.06575,0.0
