ATOM,X,Y,Z,MAGNETIC_MOMENT
N1,14.94737,1.03171,9.07416,0.0
N2,3.53968,10.17168,7.55309,18.0
N3,34.96966,4.52675,5.93133,-51.0
N4,1.11541,0.77033,7.31831,-34.0
N5,3.28399,1.79205,7.83732,-42.0
N6,34.35876,2.16029,6.3779,-8.0
N7,2.28428,5.08296,6.65237,-16.0
N8,1.51008,2.98543,6.8503,-1.0
N9,17.02005,4.71621,9.46185,0.0
N10,5.88263,10.21417,7.07331,18.0
N11,4.31198,6.97296,7.5311,39.0
N12,8.44741,7.08436,7.44652,6.0
N13,6.46901,5.77488,7.59036,23.0
N14,8.19218,9.5064,7.11937,44.0
N15,6.36357,8.04315,7.18399,-5.0
N16,4.48229,4.64686,7.59011,-10.0
N17,10.22429,8.53749,7.57351,9.0
N18,18.36719,8.38597,10.44841,-64.0
N19,16.50719,12.08656,10.25739,-45.0
N20,14.45611,10.82993,9.75879,-69.0
N21,18.51412,10.84753,10.6212,-14.0
N22,16.10652,7.59795,9.95392,-25.0
N23,16.52715,9.78539,10.13276,4.0
N24,0.76248,6.01204,9.49494,0.0
N25,12.68814,1.70931,8.97652,-2.0
N26,14.13034,5.50309,9.53867,-7.0
N27,10.12701,4.91816,8.93378,-3.0
N28,11.91383,6.38953,9.18103,-10.0
N29,14.50197,3.23174,9.39676,-2.0
N30,10.52331,2.52373,8.79838,-1.0
N31,12.30552,4.04673,9.13954,-7.0
N32,13.69424,7.79053,9.53642,-20.0
N33,8.42708,3.43732,8.53235,-1.0
N34,14.58492,13.19297,9.79299,-2.0
N35,3.22172,22.33918,8.20483,-2.0
N36,1.71074,15.62234,9.80881,1.0
N37,2.11258,11.88277,8.13628,6.0
N38,5.39905,14.24987,8.74313,1.0
N39,4.50195,12.20393,8.17096,4.0
N40,0.71658,13.59998,8.87762,2.0
N41,3.99385,15.96645,9.66609,1.0
N42,3.06143,13.92304,8.89303,3.0
N43,15.85696,14.65548,6.97069,0.0
N44,5.59806,22.3982,8.41911,0.0
N45,5.2197,18.36812,9.06022,0.0
N46,8.95078,20.07001,9.08495,0.0
N47,7.60447,18.17919,9.28723,0.0
N48,4.25159,20.42584,8.74738,-1.0
