ATOM,X,Y,Z,MAGNETIC_MOMENT
N1,12.47403,0.65235,8.52959,6
N2,2.38307,10.49171,10.17902,0
N3,1.22362,0.40047,9.89713,0
N4,4.24039,2.50736,8.01534,0
N5,3.54302,0.4764,9.04729,0
N6,14.9569,2.26777,9.12964,0
N7,2.52583,4.19536,7.57747,0
N8,2.06946,2.22405,8.72578,0
N9,14.43737,4.29964,8.02864,0
N10,3.76498,6.28105,8.66409,0
N11,7.14213,8.68152,8.47669,0
N12,6.05706,6.60339,7.98999,0
N13,2.80158,8.26912,9.65377,0
N14,5.72973,10.45777,9.46103,0
N15,4.90351,8.32008,8.95514,0
N16,4.85074,4.64029,7.46175,0
N17,7.95724,10.77366,9.05035,0
N18,14.77745,7.19118,6.73938,77
N19,13.78152,11.06879,7.77507,64
N20,11.50787,10.21962,8.1692,83
N21,0.34606,9.54566,7.01264,18
N22,12.44033,6.80565,7.24017,16
N23,13.25666,8.87179,7.3518,-1
N24,1.80938,7.92717,6.29076,14
N25,10.22796,1.00551,7.90715,3
N26,10.98251,4.97858,8.52155,8
N27,8.65782,5.46807,8.27409,15
N28,11.72917,2.79183,8.50382,4
N29,8.22386,1.55301,6.91684,1
N30,9.44122,3.2343,8.11763,5
N31,10.23372,7.15153,8.0626,41
N32,6.65409,3.15798,5.85453,0
C1,0.19877,3.37081,8.41706,0
C2,2.21976,11.7453,9.69381,0
C3,3.82349,3.73495,7.68697,0
C4,1.66225,3.38283,8.14808,0
C5,0.99792,1.55689,9.31833,0
C6,3.32746,1.69484,8.57611,0
C7,3.3181,9.54333,9.80606,0
C8,4.85648,5.86939,8.06188,0
C9,6.89313,9.9602,9.0006,0
C10,4.68904,9.61191,9.42624,0
C11,3.76466,7.54395,9.12244,0
C12,6.09396,7.89038,8.47145,0
C13,0.56414,8.23522,6.69725,4
C14,12.46837,11.185,8.12557,14
C15,11.47,7.63695,7.70048,93
C16,13.53733,7.55208,7.06929,52
C17,14.19974,9.86313,7.37877,-8
C18,11.95039,9.01177,7.77905,100
C19,11.39457,1.48784,8.32959,1
C20,9.95561,5.80281,8.27628,5
C21,7.4031,2.42715,6.40281,0
C22,9.26346,1.90885,7.64318,0
C23,10.7373,3.67447,8.39644,1
C24,8.3633,4.14516,8.43958,0
H1,13.33825,1.19023,8.72518,0
H2,14.73352,5.12892,7.50233,0
H3,8.83285,10.56649,8.57732,0
H4,9.42943,7.78263,8.12488,1
H5,2.51755,8.64806,6.33003,0
H6,1.52224,10.08215,10.54083,0
H7,2.07454,6.95187,6.21351,0
H8,13.44009,4.16721,8.24134,0
H9,5.72485,4.19477,7.10727,0
H10,7.7748,11.74298,9.28165,0
H11,7.00094,6.14218,7.90059,0
O1,7.27809,3.71023,8.81383,6
